# command	number	identifier	name	group	image	ammo_number	carrier	description	stock	value
vehicle	10	UNIT_FULCRUM	MiG-29	Vehicles	UNIT_FULCRUM.png					6000
vehicle	11	UNIT_MD500	MD-500	Vehicles	UNIT_MD500.png			Class: Helicopter\nCombat strength: depends on weapon used\nArmor: low\nSpeed: high\nRange: depends on weapon used\nCrew: 2\n\nThe MD-500 is a small observation helicopter. Its size only allows it to carry a comparatively small number of weapons systems, but does make it very maneuverable. Properly equipped, it can eliminate individual enemies as quickly as it does fighter helicopters.		3300
vehicle	12	UNIT_OH58	OH-58	Vehicles	UNIT_OH58.png			Class: Helicopter\nCombat strength: depends on weapon used\nArmor: low\nSpeed: high\nRange: depends on weapon used\nCrew: 2\n\nThe Ranger was designed as a civilian passenger helicopter, but serves military purposes equally well. It is faster than the MD-500 and properly equipped, it can eliminate individual enemies as quickly as it does fighter helicopters.		3500
vehicle	13	UNIT_T80	MBT T-80	Vehicles	UNIT_T80.png			Class: Battle tank\nCombat strength: very high\nArmor: very high\nSpeed: medium\nRange: up to 150m\nCrew: 3\n\nThe T-80 is the latest Russian battle tank. It combines modern technology with superior firepower and virtually impenetrable armor. The T-80 normally spearheads attacks, because its computer-guided missile system makes it the first tank in its class capable of firing at targets while traveling at full speed.\nEquipped with a 125mm main gun, 2 machine guns, a smoke launcher and a flame-thrower, it's the perfect fighting machine.\nThe T-80 is operational with a minimum crew of 2, but is fully fit for action with a 3-man crew.		4000
vehicle	14	UNIT_T55	MBT T-55	Vehicles	UNIT_T55.png			Class: Battle tank\nCombat strength: very high\nArmor: very high\nSpeed: medium\nRange: up to 160m\nCrew: 4\n\nThis battle tank features superior firepower and effective armor plating. One direct hit from its main gun will make enemy units ready for the scrap yard. The T-55's weapons include the 125mm main gun, 2 machine guns and a smoke launcher.\nThe T-55 is operational with a minimum crew of 2, but is fully fit for action with a 3-man crew.		3000
vehicle	15	UNIT_SHILKA	AD SHILKA	Vehicles	UNIT_SHILKA.png			Class: Anti-aircraft tank\nCombat strength: high\nArmor: high\nSpeed: medium\nRange: up to 120m\nCrew: 4\n\nThe AD Shilka in its current form was developed as an anti-aircraft tank in the late 1970s.\nIts main weapons, four 23mm machine cannons, have been replaced by smaller 14.5mm cannons, in order to increase the amount of ammunition that can be carried. The space for extra containers increases the number of rounds from 3000 to 4500. The machine cannon system is capable of firing almost 1000 rounds per minute. It is mainly used for anti-aircraft fire, but can also engage ground targets.		2200
vehicle	16	UNIT_M1A1	MBT M1A1	Vehicles	UNIT_M1A1.png			Class: Battle tank\nCombat strength: very high\nArmor: very high\nSpeed: medium\nRange: up to 160m\nCrew: 4\n\nThe M1A1 is one of the most advanced battle tanks. A range of weapons systems and almost impenetrable armor plating combine here to form a deadly partnership. Its weapons include the 125mm main gun, 1 machine gun, a 40mm grenade launcher and a smoke launcher - enemies that can seriously stand up to the M1A1 are hard to find. Only other battle tanks and helicopters have got what it takes to mount an attack. The M1A1 is operational with a minimum crew of 2, but is fully fit for action with a 3-man crew.		3750
vehicle	17	UNIT_VULCAN	AD M163	Vehicles	UNIT_VULCAN.png			Class: Armored vehicle\nCombat strength: high\nArmor: high\nSpeed: medium\nRange: up to 100m\nCrew: 2\nAdditional crew: 6\n\nThis armored vehicle is a real all-rounder. It was developed in the mid-1960s and was one of the most widely used armored vehicles ever. Its 14.5mm rotary cannon has a high firing rate and with its integrated computer-controlled firing system, is also best suited for engaging aerial targets.		1900
vehicle	18	UNIT_WOLF	WOLF	Vehicles	UNIT_WOLF.png			Class: Ground vehicle\nCombat strength: --\nArmor: low\nSpeed: high\nRange: --\nCrew: 2\n\nThis ground vehicle is light, fast and highly maneuverable. Its drawbacks are its low transportation capacity and light armor. Unfortunately, the Wolf cannot be used as a weapons platform, so its occupants must leave the vehicle before they can take part in any fighting.		250
vehicle	19	UNIT_GAZ	GAZ	Vehicles	UNIT_GAZ.png			Class: Ground vehicle\nCombat strength: --\nArmor: low\nSpeed: high\nRange: --\nCrew: 2\n\nThe GAZ is a relatively old Russian ground vehicle. It is a cheap and easy way of moving foot soldiers around. This vehicle often has technical problems, is barely armored, and is not as fast or maneuverable as modern ground vehicles.		100
vehicle	20	UNIT_GAZ2	GAZ A	Vehicles	UNIT_GAZ2.png					150
vehicle	21	UNIT_RAGER	RAGER	Vehicles	UNIT_RAGER.png			Class: Ground vehicle\nCombat strength: --\nArmor: low\nSpeed: high\nRange: --\nCrew: 4\n\nThe Rager is an extremely fast all-terrain vehicle originating from Kyrgyzstan. A resourceful mechanic there had the idea of combining the underbody of a GAZ 69, the body of an Opel Rekord and the chassis of a monster truck. The whole thing was then fitted with a Volga 2.5 liter compressor and the all-rounder was complete.		300
vehicle	22	UNIT_EAGLE	F-15 Eagle	Vehicles	UNIT_EAGLE.png			Class: Fighter jet\nCombat strength: depends on bomb type\nArmor: low\nSpeed: high\nRange: --\nCrew: 1\n\nDevelopment work on the American F-15 Eagle fighter plane was begun in the 1960s. It was designed as a rival to the Russian MiG-23 and MiG-27, and it made its maiden flight in 1972. The F-15 has 6 external pylons for loading with 500lb or 1,000lb bombs.		7000
equipment	1	SET_MUN_MG	7,62mm x 50	Ammunition	SET_MUN_MG.png			Damage - \nPhysical: medium\nStructural: medium\nArmor: medium\nPenetration: low\n\nMany small and medium-sized machine guns use 7.62mm bullets. With these bullets, stored on belts in 50-round ammunition boxes, these weapons have a long range, high firing rate, and impressive penetration.	50	15
equipment	21	SET_MUN_AK74	5,45mm x 30	Ammunition	SET_MUN_AK74.png			Damage - \nPhysical: medium\nStructural: low\nArmor: low\nPenetration: low\n\nThe 5.45 caliber is AK-74 ammunition and is used exclusively with this weapon. The magazine contains 30 rounds. This relatively small hard-core projectile uses a comparatively large propellant, helping the weapon achieve an impressive muzzle velocity.  When one of these high-speed bullets hits its target, even a light hit can have deadly consequences. Its effectiveness on vehicles is extremely limited, however, so for this you should use weapons with more penetration.	30	5
equipment	22	SET_MUN_9MM	9mm x 20	Ammunition	SET_MUN_9MM.png			Damage - \nPhysical: low\nStructural: low\nArmor: low\nPenetration: low\n\nMany pistols, revolvers and machine pistols fire 9x19 mm caliber ammunition. Each magazine contains 20 rounds. This ammunition is light, very effective at short range, and can be obtained almost anywhere for a low price. Unfortunately, the Kevlar vest often worn by gangs dramatically reduces its effectiveness, but this has hardly affected its popularity.	20	1
equipment	23	SET_MUN_SHOTGUN	22mm Shells x 10	Ammunition	SET_MUN_SHOTGUN.png			Damage - \nPhysical: high\nStructural: low\nArmor: low\nPenetration: low\n\nShotgun ammunition. Each unit contains 10 shells.\nThe shot from this cartridge consists of a lot of small metal balls, which expand conically after leaving the barrel. Perfect for engaging soft targets at short range.	10	1.5
equipment	24	SET_MUN_ARMBRUST	Crossbow Bolt x 6	Ammunition	SET_MUN_ARMBRUST.png			Damage - \nPhysical: high\nStructural: low\nArmor: low\nPenetration: medium\n\nA simple leather bag containing 6 forearm-length bolts, which are shot from widely used crossbows. Equipped with hammerhead steel tips, they can penetrate Kevlar vests, even at medium range.	6	3
equipment	25	SET_MUN_MK	14,5mm x 250	Ammunition	SET_MUN_MK.png			Damage - \nPhysical: high\nStructural: high\nArmor: medium\nPenetration: low\n\nHeavy machine guns and light machine cannons use 14.5 mm caliber ammunition. Stored on belts in 250-round boxes, they are much too heavy to be carried around by infantry and are therefore used by almost every class of mobile unit.	250	50
equipment	26	SET_MUN_PLAMJA_BRAND	40mm Plamja Fire	Ammunition	SET_MUN_PLAMJA_BRAND.png			Damage - \nPhysical: high\nStructural: high\nArmor: medium\nPenetration: low\n\n40 mm grenades are used by the Plamja grenade launcher, the M79, and the grenade launchers mounted on the M1A1. This incendiary grenade creates a long-burning, very hot blanket of fire that causes similar levels of damage to a Molotov cocktail.	1	5
equipment	27	SET_MUN_PLAMJA_HE	40mm Plamja HE	Ammunition	SET_MUN_PLAMJA_HE.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: low\n\n40 mm grenades are used by the Plamja grenade launcher and the grenade launchers mounted on the T-80. The explosive grenade has low penetrating power, but it causes considerable superficial damage to the victim.	1	10
equipment	28	SET_MUN_73MMGUN_HEFRAG	73mm HEFRAG	Ammunition	SET_MUN_73MMGUN_HEFRAG.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: low\n\nThis ammunition is designed for engaging infantry troops and large soft targets. This splintering high-explosive round has only low penetrating power, but can cause extensive damage across a wide area.	1	50
equipment	29	SET_MUN_73MMGUN_HEAT	73mm HEAT	Ammunition	SET_MUN_73MMGUN_HEAT.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: medium\n\nThis ammunition is designed for engaging hard targets and armored vehicles. This armor-piercing high-explosive round has comparatively high penetrating power and causes significant damage to the target. HEAT rounds are generally preferable to HESH and HE-FRAG, but are also more expensive.	1	25
equipment	30	SET_MUN_125MMGUN_APSFDS	125mm APFSDS	Ammunition	SET_MUN_125MMGUN_APSFDS.png			Damage - \nPhysical: very high\nStructural: medium\nArmor: low\nPenetration: very high\n\nThis heavy artillery missile is used by all modern battle tanks to engage moving hard targets. The projectile is made from tungsten or depleted uranium and its massive kinetic energy enables it to pierce all known armor and cause substantial physical damage. The structural damage to the target is so slight, however, that the enemy unit can be easily captured.	1	250
equipment	31	SET_MUN_125MMGUN_HE	125mm HEFRAG	Ammunition	SET_MUN_125MMGUN_HE.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: low\n\nThis ammunition is most suitable for engaging infantry troops and large soft targets. This splintering high-explosive round has only low penetrating power, but can cause extensive damage across a wide area.	1	75
equipment	32	SET_MUN_125MMGUN_HEAT	125mm HEAT	Ammunition	SET_MUN_125MMGUN_HEAT.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: high\n\nThese rounds are most suitable for hard targets and vehicles with moderate armor. This armor-piercing high-explosive round has comparatively high penetrating power and causes immense damage to the target.	1	50
equipment	33	SET_MUN_152MMGUN_HE	152mm HE	Ammunition	SET_MUN_152MMGUN_HE.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: high\n\nThis artillery ammunition is fired over long distances from the mobile self-propelled 2S3. This high-explosive projectile has impressive penetrating power and causes tremendous damage across a wide area. It can be used against infantry troops, heavily armored vehicles, and well-fortified buildings.	1	40
equipment	34	SET_MUN_152MMGUN_NEBEL	152mm FOG	Ammunition	SET_MUN_152MMGUN_NEBEL.png			Damage - \nPhysical: low\nStructural: low\nArmor: low\nPenetration: low\n\nThis artillery ammunition is fired over long distances from the mobile self-propelled 2S3. This projectile creates a widespread blanket of smoke, which restricts visibility and makes it more difficult to gain orientation and engage the enemy. Under the cover of this blanket of smoke, you can move your troops without them being caught in an enemy barrage.  Whether this is used for attack or retreat is entirely up to the commanders.	1	20
equipment	35	SET_MUN_152MMGUN_LEUCHT	152mm FLARE	Ammunition	SET_MUN_152MMGUN_LEUCHT.png			Damage --\nPhysical: low\nStructural: low\nArmor: low\nPenetration: low\n\nThis artillery ammunition is fired over long distances from the mobile self-propelled 2S3. The carrier projectile has a magnesium core attached to a parachute as a secondary charge, which bathes the battlefield in gleaming white light, even at night. Use it to give your soldiers a better view in battle.	1	15
equipment	36	SET_MUN_152MMGUN_MINE	152mm MINE	Ammunition	SET_MUN_152MMGUN_MINE.png			Damage - \nPhysical: low\nStructural: low\nArmor: low\nPenetration: low\n\nThis artillery ammunition is fired over long distances from the mobile self-propelled 2S3. The carrier projectile contains 3 secondary charges, similar to Achilles anti-tank mines. Even just a few 2S3s can lay a minefield over an extended area in a very short time and from an incredible distance. A strategic refinement that should not be underestimated.	1	35
equipment	37	SET_MUN_RPG7	PG7 M HEAT	Ammunition	SET_MUN_RPG7.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: high\n\nThis hollow-load missile for the RPG-7 has significant penetrating power and causes extensive damage. It is not powerful enough to pierce the armor of more modern battle tanks, but just a few hits are often sufficient to put the vehicle out of action. The projectile is light, cheap, and therefore suitable for large-scale deployment.	1	50
equipment	38	SET_MUN_SA7	SA-7B HEFRAG	Ammunition	SET_MUN_SA7.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: high\n\nThis infrared-guided missile is fired by the SA-7 GRAIL. The seeker head guides the high-explosive battle charge to its target using the thermal image of the enemy.	1	100
equipment	40	SET_MUN_BM21_HEFRAG	BM21 HEFRAG	Ammunition	SET_MUN_BM21_HEFRAG.png			Damage - \nPhysical: high\nStructural: high\nArmor: medium\nPenetration: medium\n\nThis unguided missile is fired from the BM-21 MLRS over an incredible range. Fired in salvos, this high-explosive projectile has penetrating power that should never be underestimated and causes extensive damage over a wide area. It can be used against infantry troops, heavily armored vehicles, and well-fortified buildings.	1	50
equipment	41	SET_MUN_BM21_RAUCH	BM21 SMOKE	Ammunition	SET_MUN_BM21_RAUCH.png			Damage - \nPhysical: medium\nStructural: medium\nArmor: medium\nPenetration: medium\n\nThis unguided missile is fired from the BM-21 MLRS over an incredible range. This projectile creates a blanket of smoke, which restricts visibility and makes it more difficult to gain orientation and engage the enemy. Under the cover of this blanket of smoke, you can move your troops without them being caught in an enemy barrage.  Whether this is used for attack or retreat is entirely up to the commanders.	1	20
equipment	42	SET_MUN_BM21_MINE	BM21 MINE	Ammunition	SET_MUN_BM21_MINE.png			Damage - \nPhysical: --\nStructural: --\nArmor: --\nPenetration: --\n\nThis unguided missile is fired from the BM-21 MLRS over an incredible range. The missile contains 2 secondary charges, similar to conventional anti-tank mines. A single BM-21 can lay a minefield over a wide area in a very short time and from an incredible distance. A strategic refinement that should not be underestimated.	1	45
equipment	43	SET_MUN_TOW	TOW HEAT	Ammunition	SET_MUN_TOW.png			Damage - \nPhysical: high\nStructural: very high\nArmor: very high\nPenetration: high\n\nThis Western-made missile is fired from the TOW rocket launcher to engage tanks. The warhead can pierce most conventional armor and cause considerable damage to the target. This weapon is not cheap and is difficult to get hold of, but its long range and effectiveness mean it's always a good choice.	1	75
equipment	44	SET_MUN_AT2	AT2	Ammunition	SET_MUN_AT2.png			Damage - \nPhysical: high\nStructural: high\nArmor: medium\nPenetration: medium\n\nAn older Russian anti-tank missile, which can be mounted on the BMP-1 and M-24. This weapon has an impressive range, but its penetrating power and damage level are only moderate in comparison with newer models.	1	35
equipment	45	SET_MUN_AT6	AT6	Ammunition	SET_MUN_AT6.png			Damage - \nPhysical: high\nStructural: very high\nArmor: very high\nPenetration: high\n\nA modern Russian anti-tank missile, which can be used on the OH-80, MD 500, and Mi-24 helicopters. It combines a long range and accurate targeting with incredible penetrating power and explosive force. Not particularly cheap and hard to get hold of, this weapon can turn a helicopter into your enemy's worst nightmare and every arsenal should have one.	1	85
equipment	46	SET_MUN_UB20	80mm AS	Ammunition	SET_MUN_UB20.png			Damage - \nPhysical: high\nStructural: medium\nArmor: medium\nPenetration: low\n\nThis unguided 80mm air-to-surface missile carries a high-explosive warhead and is fired in large numbers from the UB20 rocket pod. The Mi-24 and Mi-8 use this weapon against infantry troops, lightly armored vehicles, and other soft targets. The weapon has a limited range and cannot penetrate modern armor, but it has a high firing rate and scatters over a wide area, making it a foot soldier's nightmare. The low cost of this weapon and its wide range of deployment options make it a good all-round choice.	1	12
equipment	47	SET_MUN_UV32	57mm AS	Ammunition	SET_MUN_UV32.png			Damage - \nPhysical: high\nStructural: medium\nArmor: medium\nPenetration: low\n\nThis unguided 57 mm air-to-surface missile has a high-explosive warhead and is fired in large numbers from the UV-7-57 and the UV-32-57 rocket pods. OH-58, MD 500, Mi-8, and Mi-24 helicopters use this weapon against infantry troops, lightly armored vehicles, and other soft targets. The missile has a limited range and cannot penetrate modern armor, but it has a high firing rate and scatters over a wide area, making it a foot soldier's nightmare. The low cost of this weapon and its wide range of deployment options make it a good all-round choice.	1	10
equipment	50	SET_MUN_250KGBOMBE	500 LB BOMB	Ammunition	SET_MUN_250KGBOMBE.png			Damage - \nPhysical: high\nStructural: high\nArmor: high\nPenetration: high\n\nPrimarily used to engage stationary hard targets. Your fighter jets can carry this weapon and deploy it against your enemies. Since the bomb does not have a seeker head, its flight path must be calculated in advance, a process that requires specialist knowledge from the pilot.  Make sure that none of your own units are in the target area, or you'll probably never see them again.\nFor a bombing raid you need tracking devices, which must be obtained separately.	1	150
equipment	51	SET_MUN_500KGBOMBE	1000 LB BOMB	Ammunition	SET_MUN_500KGBOMBE.png			Damage - \nPhysical: very high\nStructural: very high\nArmor: very high\nPenetration: very high\n\nThe 500 lb bomb's big brother. Properly used, it can devastate entire areas.\nHere too, tracking devices must be used, which, once in place, radio the target coordinates to the fighter-bomber pilot.	1	250
equipment	69	SET_MUN_FLAMMENWERFER	Kerosene Canister	Ammunition	SET_MUN_FLAMMENWERFER.png			This reservoir contains a large amount of a kerosene-oil mix, which is used as ammunition for the T-80 battle tank's flame-thrower. The reservoir contains enough fuel for several short bursts of flame and can be used against almost any ground target. The long, hot flame burns through gaps, cracks, and ventilation shafts and sooner or later renders any weapons system unusable. The psychological effects of a flame-thrower should not be underestimated either.	40	20
equipment	133	SET_MUN_MESSER	Knife	Ammunition	SET_MUN_MESSER.png			Class: Throwing weapon\nAccuracy: 1\nRange: 20 yds.\nPenetration: high\nFiring rate: --\nAmmunition: --\n\nThe throwing knife of former Russian special units is a primitive weapon, but a lethal one in the right hands. A single combat soldier can silently sneak up on an unwary enemy and quietly send him to meet his maker.	1	0
equipment	134	SET_MUN_HANDGRANATE	Hand Grenade	Ammunition	SET_MUN_HANDGRANATE.png			Class: Throwing weapon\nPenetration: high\n\nThe most powerful throwing weapon available. A direct hit on a light vehicle surely means the end of the vehicle and its occupants. It is also an effective weapon against infantry. But beware, the enemy has them too.	1	0
equipment	135	SET_MUN_MOLOTOW	Molotov	Ammunition	SET_MUN_MOLOTOW.png			Class: Throwing weapon\nPenetration: medium\n\nA primitive, but extremely effective weapon. An oil-soaked rag is stuffed into the top of an ordinary glass bottle containing a kerosene-oil mixture, ignited and then thrown at a target. The container smashes on impact and the contents spill over the victim in an explosive but long-burning mixture. A good thrower can even damage armored units and silence human or animal targets.	1	0
equipment	127	SET_MUN_PANZERNEBELGRANATE	Fog Grenade	Ammunition	SET_MUN_PANZERNEBELGRANATE.png			Damage - \nPhysical: --\nStructural: --\nArmor: --\nPenetration: --\n\nThis grenade is only suitable for smoke launchers on armored vehicles. On detonation it generates a dense cloud of smoke and can therefore be used to cause confusion in enemy ranks.	1	5
equipment	142	SET_MUN_DRAGUNOV	Sniper Munition	Ammunition	SET_MUN_DRAGUNOV.png			5,56mm x 5 sniper bullets	5	25
equipment	236	SET_MUN_UNBORN_MINIGUN	Unborn Rounds	Ammunition	SET_MUN_UNBORN_MINIGUN.png				1000	0
equipment	60	SET_MUN_UNBORN_ROCKETLAUNCHER	Unborn Rocket	Ammunition	SET_MUN_UNBORN_ROCKETLAUNCHER.png				30	0
equipment	144	SET_MUN_NEBELGRANATE	Nebelgranate (Mun)	Ammunition	SET_MUN_NEBELGRANATE.png			Class: Throwing weapon\nPenetration: --\n\nThe explosion of smoke from this weapon causes confusion and reduces visibility, making it suitable for deployment in a number of tactical scenarios, such as taking out a position or retreating.	1	0
equipment	145	SET_MUN_BETAEUBUNGSGRANATE	Betäubungsgranate (Mun)	Ammunition	SET_MUN_BETAEUBUNGSGRANATE.png			Class: Throwing weapon\nPenetration: --\n\nAny enemy who makes the mistake of getting too close to this grenade is put out of action by the special mixture of gases. But be warned, the effects of the stun grenade only last for a minute or so.	1	0
equipment	2	SET_M60	M60	Gear and weapons	SET_M60.png	1		Class: Machine gun\nAccuracy: 0.6\nRange: 70 yds.\nPenetration: low\nFiring rate: 600/min\nAmmunition: 7.62 mm\n\nThe American M60 is a tried-and-true, extremely versatile weapon. Its long range makes it a real threat, even to helicopters. It might not fire salvos like rival models, but this weapon is very easy to get hold of and is therefore very popular.		50
equipment	53	SET_AK74	AK74	Gear and weapons	SET_AK74.png	21		Class: Assault rifle\nAccuracy: 0.7\nRange: 50 yds.\nPenetration: low\nFiring rate: 750/min\nAmmunition: 5.45 mm\n\nThe AK-74 is the successor to the AK-47 Kalashnikov, which is the most widely used weapon in the entire world. Like its predecessor, the AK-74 combines reliability and flexibility with an almost unbeatably low price. The gun's small caliber and the plastic construction of its hand guard and magazine make it extremely light, and its high muzzle velocity makes it an efficient weapon.		20
equipment	54	SET_BERETTA	Beretta	Gear and weapons	SET_BERETTA.png	22		Class: Pistol\nAccuracy: 1\nRange: 20 yds.\nPenetration: low\nFiring rate: 80/min\nAmmunition: 9 mm\n\nThe Beretta is a widely used Italian handgun. It's cheap, easy to use, and extremely effective at short range. These are precisely the reasons why it is used by almost every social class. In open terrain, however, it is better to use a longer range weapon.		5
equipment	55	SET_UZI	UZI	Gear and weapons	SET_UZI.png	22		Class: Machine gun\nAccuracy: 0.8\nRange: 30 yds.\nPenetration: low\nFiring rate: 600/min\nAmmunition: 9 mm\n\nThe Uzi is probably the most widely used machine gun outside the Eastern Bloc. Its compact size, high firing rate, and virtually non-existent recoil make this weapon a real threat, even in the hands of the untrained. It costs so little that everyone can afford one, making it essential for house-to-house fighting.		10
equipment	56	SET_MP5	MP5	Gear and weapons	SET_MP5.png	22		Class: Machine gun\nAccuracy: 0.9\nRange: 36 yds.\nPenetration: low\nFiring rate: 700/min\nAmmunition: 9 mm\n\nThis weapon combines reliability and lots of firepower with state-of-the-art equipment. Originally developed for the police and special units, it serves military purposes equally well. Unfortunately, this model is very expensive and is therefore used mostly by elite troops.		15
equipment	57	SET_RPK	RPK	Gear and weapons	SET_RPK.png	1		Class: Machine gun\nAccuracy: 0.7\nRange: 70 yds.\nPenetration: medium\nFiring rate: 600/min\nAmmunition: 7.62 mm\n\nThe RPK is a light Russian machine gun. Unlike similar Western models, its ammunition is loaded from a magazine and not from a belt. Not only is this weapon lightweight, it is also less temperamental than its Western counterparts. The minimal purchase costs are also a formidable argument in its favor.		60
equipment	58	SET_RPG7	RPG7 Bazooka	Gear and weapons	SET_RPG7.png	37		Class: Bazooka\nAccuracy: 4\nRange: 160 yds.\nPenetration: high\nFiring rate: 10/min\nAmmunition: PG-7 rockets\n\nThe RPG-7 is a Russian-made bazooka. Unlike Western-built models, this weapon can be reused, so the launcher does not have to be discarded. But it pays for this through its low penetrating power, making it pretty ineffective against modern armor. However, in comparison with other weapons, the RPG-7 really is dirt cheap and is a particularly good choice for use against soft targets.\nBut you have to remember that this is an unguided rocket system, although the trained sharpshooter knows how to work around this shortcoming.		100
equipment	59	SET_SA7	SA7 Grail	Gear and weapons	SET_SA7.png	38		Class: SAM\nAccuracy: 4\nRange: 300 yds.\nPenetration: high\nFiring rate: 10/min\nAmmunition: SA-7 rockets\n\nThe SA-7 GRAIL is probably the most widely used surface-to-air missile in the world. It's cheap, easy to use and extremely accurate, even at long range. It hits the target almost every time.\nIts high penetrating power also makes it an effective weapon against armored vehicles.		200
equipment	61	SET_DRAGUNOV	Dragunov	Gear and weapons	SET_DRAGUNOV.png	142		Class: Sharpshooter's weapon\nAccuracy: 4\nRange: 200 yds.\nPenetration: high\nFiring rate: 12/min\nAmmunition: 5.65 mm\n\nThe Dragunov is one of the oldest models in the world. It was developed over 100 years ago, has been continually improved, and is today the most refined sharpshooter's weapon available. Weighing in at nearly 9 pounds and measuring almost 2 Â½ feet in length, in the hands of a concealed sharpshooter this weapon can be a real blessing or sheer agony.		100
equipment	62	SET_HUMVEE_M60	HUMVEE M60	Gear and weapons	SET_HUMVEE_M60.png	1	UNIT_HUMMER	Class: Machine gun\nAccuracy: 2\nRange: 70 yds.\nPenetration: low\nFiring rate: 600/min\nAmmunition: 7.62 mm\n\nThis machine gun has been modified so that it can easily be mounted on a vehicle. The fixed gun carriage provides an extremely high level of accuracy. Otherwise, this weapon has the same specifications as the M60.		50
equipment	63	SET_HUMVEE_PLAMJA	HUMVEE Plamya	Vehicle weapons	SET_HUMVEE_PLAMJA.png	26	UNIT_HUMMER	Class: Grenade launcher\nAccuracy: 1\nRange: 70 yds.\nPenetration: low\nFiring rate: 30/min\nAmmunition: 40 mm Plamja\n\nA grenade launcher is already a powerful weapon, but when it's fixed to a vehicle, that's a deadly combination. A light vehicle equipped with this weapon is very hard for infantry to knock out.		150
